date,text,likes,retweets,link
2020-10-21,"- Não se justifica um bilionário aporte financeiro num medicamento que sequer ultrapassou sua fase de testagem.
- Diante do exposto, minha decisão é a de não adquirir a referida vacina.",16890,2519,https://twitter.com/jairbolsonaro/status/1318909886080614411
2020-10-21,"A VACINA CHINESA DE JOÃO DORIA
- Para o meu Governo, qualquer vacina, antes de ser disponibilizada à população, deverá ser COMPROVADA CIENTIFICAMENTE PELO MINISTÉRIO DA SAÚDE e CERTIFICADA PELA ANVISA.
- O povo brasileiro NÃO SERÁ COBAIA DE NINGUÉM. (continua).",23349,4174,https://twitter.com/jairbolsonaro/status/1318909799505985537
2020-10-21,@secomvc @ItamaratyGovBr @MinEconomia @ernestofaraujo 🤝,2874,154,https://twitter.com/jairbolsonaro/status/1318872006486560770
2020-10-21,"- Recebi a visita do Conselheiro de Segurança dos EUA, Robert O'Brien, com representantes da Casa Branca,  onde assinamos três acordos que vão intensificar ainda mais nossas relações comerciais e econômicas.
. No YouTube: https://t.co/2Mz5rbnyZN https://t.co/zI5O2jgc4m",19593,3391,https://twitter.com/jairbolsonaro/status/1318850346039521280
2020-10-20,"- CURSOS TÉCNICOS. 
- Portaria 524-MEC, de 30/set/2020, autoriza a oferta de 515 cursos técnicos (600 mil vagas), inclusive à distância,  por instituições públicas e privadas.
- Presidente Jair Bolsonaro.
- @MEC_Comunicacao @mribeiroMEC https://t.co/SxGATbwQfZ",16221,3227,https://twitter.com/jairbolsonaro/status/1318573794986987526
2020-10-20,"- Peço assistir e compartilhar.
. https://t.co/Zwth897CiM",16217,5834,https://twitter.com/jairbolsonaro/status/1318514839116009472
2020-10-20,"- Na ONU, denunciei a existência da grande perseguição aos cristãos ao redor do mundo: a cristofobia.
- Hoje, igrejas foram incendiadas na capital do Chile por grupos de esquerda. https://t.co/89ER7o2eky",69422,16672,https://twitter.com/jairbolsonaro/status/1318354503477985283
2020-10-19,"- Projeto de lei: Marco Legal das Startups.
. @EconomiaSepec @MinEconomia 
. Link no YouTube: https://t.co/76wiuu79zD https://t.co/hca5MTYpyU",15001,3096,https://twitter.com/jairbolsonaro/status/1318281260943421442
2020-10-19,@planalto 👉🏻🤝,1917,113,https://twitter.com/jairbolsonaro/status/1318255546114445312
2020-10-19,@Denatran @MInfraestrutura 🤝,915,39,https://twitter.com/jairbolsonaro/status/1318255305529184257
